komentar_preprocessing,label,Nomor
michael paul us quick cut large shadow wide angle shot taken distance hide liberal use body double seagal,negative,1
premise ripe manner lunacy kaufman gondry rarely seem sure go,negative,2
average comedic dateflick waste time,negative,3
indulgent slightly sunbaked summery mind sex lucia may well prove diverting enough,positive,4
unmistakable easy joie de vivre,positive,5
nicholson understated performance wonderful warren stumble search emotion life experience neglected year,positive,6
clich shallow cautionary tale hard partying life gay men,negative,7
lathan diggs carry film charisma exhibit sharp comic timing make hackneyed element film easier digest,positive,8
boomer kid barrie good time,positive,9
thing give movie point bravado take entirely stale concept push audience meat grinder one time,negative,10
birthday girl actor movie first foremost,positive,11
behind scene look training dedication go becoming world class fencer champion made difference nyc inner city youth,positive,12
yeah flick damn good great,positive,13
always something likable marquis de sade,positive,14
rush profit created predictably efficient piece business notable largely overwhelming creepiness eagerness create image wish seen day age course point,positive,15
play hollow catharsis lot tear little way insight,negative,16
guy seem great knock back beer simply funny performer,negative,17
brilliant brutal uk crime film since jack carter went back newcastle first half gangster drip style time blood,positive,18
piano teacher like title character repellantly control,negative,19
right track something creepy effective going take man bullwinkle costume get,negative,20
start possible argentine american beauty reek like room stacked pungent flower,negative,21
due stodgy soap opera ish dialogue rest cast come across stick figure reading line teleprompter,negative,22
competent unpretentious entertainment destined fill school slot shopping mall theater across country,positive,23
surprisingly charming even witty match best hollywood comic book adaptation,positive,24
every potential twist telegraphed well advance every performance respectably muted movie seems made influence rohypnol,negative,25
never good sign film star spends entirety film coma worse sign begin envy condition,negative,26
see debate remember,positive,27
de oliveira creates emotionally rich poetically plump visually fulsome never showy film whose bittersweet theme reinforced brilliantly personified michel piccoli,positive,28
film hinge casting glover really fit part,negative,29
heedless impetuousness youth full irritating display meandering pointless french coming age import writer director anne sophie birot,negative,30
high crime cinematic misdemeanor routine crime thriller remarkable lack logic misuse two fine actor morgan freeman ashley judd,negative,31
warm water red bridge quirky poignant japanese film explores fascinating connection woman water nature sexuality,positive,32
small fortune salary stunt car might saved director tom dey spliced together bit piece midnight run hour matter shrek,negative,33
ok movie something sitcom apparatus line work humor point actor humanly engaged,positive,34
barry give assassin disquieting authority,positive,35
comedy subversive unrelenting bleak insistence opting opportunity finding meaning relationship work becomes sad,positive,36
complete shamble movie sloppy uneven damn unpleasant believe viewer young old would good time,negative,37
happy listening movie watching slow parade human frailty fascinates right film,positive,38
serious sense purpose find way lay bare tragedy setting good deal warmth humor,positive,39
umpteenth summer skinny dip jerry bruckheimer putrid pond retread action twaddle,negative,40
philip k dick must turning grave along stomach,negative,41
film almost unbearable portrait sadness grief transcends specific story speak way need history presumption tangle sometimes destroy blood tie,positive,42
fairy tale formula serf paper skeleton good acting dialogue comedy direction especially charm,positive,43
new guy even bull get recycled,negative,44
complexity realistic human behavior episode general hospital,negative,45
intelligent moving invigorating film,positive,46
part ingredient unwillingness explore beyond surface character prevents nettelbeck film coming together,negative,47
lillard cardellini earn scooby snack anyone else,negative,48
culture clash comedy addition funny capture discomfort embarrassment bumbling american europe,positive,49
close solid espionage thriller misfortune released decade late,negative,50
wait hit cable,negative,51
challenging intermittently engrossing unflaggingly creative long convoluted end muddle,positive,52
ofrece una buena oportunidad de cultura aunque sea condensada que bien vale la pena aprovechar,positive,53
simplistic silly tedious,negative,54
broomfield energized volletta wallace maternal fury fearlessness film crackle,positive,55
fessenden continues interesting work would nice see could make decent budget problem wendigo effective moment really one resource,negative,56
latest adam sandler assault possibly worst film year,negative,57
another rent installment ian fleming estate,negative,58
sort film make miss hitchcock also feel optimistic hope popular cinema yet,positive,59
ambitious movie like shiner organizing big fight pull enough effect make one come,positive,60
expand tv show movie length however pleasant enough ecological pro wildlife sentiment certainly welcome,positive,61
take care nicely performed quintet actress nonetheless drag minute length,positive,62
reason miss interview assassin,positive,63
aspiration social import inform movie version shameless sham calculated cash popularity star,negative,64
overall fabric hypnotic mr mattei foster moment spontaneous intimacy,positive,65
film preachy feminism book,negative,66
story like ravel bolero build crescendo encompasses many path started,positive,67
wish windtalker faith dramatic potential true story would better fiction concocted still could room war scene,negative,68
prof mainly south korean filmmaker make undemanding action movie alacrity hollywood counterpart,positive,69
allen underestimated charm delivers goody lump coal,positive,70
unabashedly schmaltzy thoroughly enjoyable true story,positive,71
film sometimes flag enough secondary action keep thing moving along brisk amusing pace,positive,72
unfolds one politically audacious film recent decade country especially france,positive,73
grab child imagination amaze amuse,positive,74
fan bad good cinema may find fun jumbled mess,negative,75
ultimately feel empty unsatisfying like swallowing communion wafer without wine,positive,76
releasing film word dog title january lends easy joke insult snow dog deserves every single one,negative,77
good script good dialogue funny even adult character interesting often creatively constructed figure backstory film play equally well standard giant screen,positive,78
attal mix comedy serious exploration ego jealousy within seemingly serene marriage,positive,79
strike yang similarly themed yi yi found time engaging emotional level funnier whole le detached,positive,80
addition hoffman powerful acting clinic rare drama offer thoughtful rewarding glimpse sort heartache everyone felt feel someday,positive,81
humbling little film fueled light comedic work zhao benshan delicate way dong jie sort moviegoer complain make movie like used anymore,positive,82
turn cut norm thanks clever writing sprightly acting,positive,83
denis co writer michele petin impeccable screenplay penetrates rawness unflinching tantalizing lead provocatuers testud parmentier give superlative performance,positive,84
cold dreary weather perfect metaphor movie contains laugh much drama,negative,85
sitcomishly predictable cloying attempt poignant,negative,86
filmmaker ascends literally olympus art world would done well end flawed dazzling series raising something cremaster,negative,87
story character nowhere near gripping enough,negative,88
oops really done time chirpy songbird britney spear popped mindless drivel,negative,89
ingenious film comedy since john malkovich,positive,90
firmly believe good video game movie going show soon also believe resident evil,negative,91
last time saw theater full people constantly checking watch sat,negative,92
film moment far,negative,93
film centre precisely layered performance actor mid seventy michel piccoli,positive,94
visually santa clause wondrously creative,positive,95
amazing film work convincing movie end swear wet place feel sand creeping others,positive,96
sly game cat mouse intense thrilling time occasionally stretch believability limit relies predictable plot contrivance,positive,97
anyone unfamiliar pentacostal practice general theatrical phenomenon hell house particular eye opener,positive,98
old people love movie mean nicest possible way last order touch heart anyone old enough earned year friendship,positive,99
portrait alienation perfect certainly succeed alienating viewer,negative,100
although disney follows standard formula animated adventure feel forced usual,negative,101
one splendid entertainment emerge french film industry year,positive,102
easy watch except annoying demeanour lead character,negative,103
although try much really another major league,negative,104
good sense cast actor generally speaking adored movie going public khouri get terrific performance,positive,105
despite blue chip cast provocative title writer director peter mattei first feature microwave dull leftover romantic motif basted faux contemporary gravy,negative,106
drama great power yet member audience leave theater believing seen comedy,positive,107
determined ennui hobbled slog really much say beyond news flash loneliness make people act weird,negative,108
cheap scam put together cynical creep revolution studio imagine entertainment make sucker surrender minute unrecoverable life,negative,109
rarely much money delivered little entertainment,negative,110
magnificent drama well worth tracking,positive,111
story mostly told camera interview several survivor whose riveting memory rendered clarity happened yesterday,positive,112
film occasionally try viewer patience slow pacing main character sometimes defies sympathy ultimately satisfies moving story,positive,113
completely awful iranian drama much fun grouchy ayatollah cold mosque,negative,114
visual spectacle full stunning image effect,positive,115
wish could say thank god friday truth matter glad,negative,116
xxx diesel rare creature action hero table manner one prof elegance tattoo deep,positive,117
resembles soft porn brian de palma pastiche,negative,118
missing call wow factor,negative,119
episode ii attack clone technological exercise lack juice delight,negative,120
norton hold film together,positive,121
time however dogtown z boy lapse insider lingo mindset uninitiated may find hard follow care,negative,122
chick flick go one pretty miserable resorting string pulling rather legitimate character development intelligent plotting,negative,123
part targeted audience cheer otherwise maybe,positive,124
despite comic spark welcome collinwood never catch fire,negative,125
master disaster piece dreck disguised comedy,negative,126
well crafted film remarkable achieves emotional power moment revelation restraint delicate ambiguity,positive,127
cinematic equivalent good page turner even nonsense claw dig surprisingly deep,positive,128
nothing one relentlessly depressing situation another entire running time something could easily dealing right life,negative,129
even minute playing opposite bullock grant still look ill ease sharing scene painless time killer becomes instead grating endurance test,negative,130
late marriage stiffness unlikely demonstrate emotional clout sweep u viewer foot,negative,131
lilia transformation strict mother sensual siren superficially preposterous abbas infuses role unimpeachable core emotional truth,positive,132
fun watching spy big summer movie,positive,133
funny also heartwarming without stooping gooeyness,positive,134
boy oh boy howler,negative,135
leigh daring without denying hardscrabble life people economic fringe margaret thatcher ruinous legacy insists importance moment people connect express love,positive,136
recycles every clich gay essentially extended soap opera,negative,137
cheap slasher flick subject matter would suggest little like nature film showing patient predator foolish prey,negative,138
use thriller form examine labyrinthine way people life cross change buffeted event seemingly control intriguing provocative stuff,positive,139
michael moore perfected art highly entertaining self aggrandizing politically motivated documentary making got potent topic ever,positive,140
lazy enjoyable formula comedy redeemed star even lazier far le enjoyable,positive,141
beautiful aching sadness paul cox needed show decide need see,positive,142
story work one thin scattered film work well enough make worth watching,positive,143
never really feel involved story idea remain abstract idea,negative,144
delightful surprise despite backstage drama movie tell story work charming moving funny look professional,positive,145
audrey tatou knack picking role magnify outrageous charm literate french comedy morning glory exuberant lie,positive,146
ingenious construction adapted david hare michael cunningham novel constantly flow forward back weaving theme among three strand allow u view event prism,positive,147
liked endlessly grotesquely inventive,positive,148
unlikely see better thriller year,positive,149
awkward indigestible movie,negative,150
start mediocre spiral downward thud bottom pool utterly incompetent conclusion,negative,151
may genial ingenious get job done,positive,152
though plot predictable movie never feel formulaic attention nuance emotional development delicate character,positive,153
sweet home alabama one dumb movie stupidity relentlessly harmless almost win end,negative,154
come entertainment child deserve better pokemon ever,negative,155
innocence holiday cheer used,negative,156
difficult care character central flaw film,negative,157
director byler may yet great movie charlotte sometimes half one,negative,158
sure teenage boy somewhere dying kind entertainment,negative,159
painfully slow cliche ridden film filled hole clyde barrow car,negative,160
simple story seems simple working plot almost arbitrary,negative,161
